max_depth,min_samples_leaf,accuracy,macro_f1
,1,0.8369791666666667,0.837136071451124
,5,0.83359375,0.833267813607969
,3,0.8307291666666666,0.8300315737832007
,10,0.82578125,0.8254972283543776
,20,0.8072916666666666,0.8068288085466306
20.0,1,0.759375,0.7833137480784877
20.0,3,0.7578125,0.781354040183469
20.0,10,0.7575520833333333,0.7808787435419893
20.0,5,0.7580729166666667,0.7804376418843703
20.0,20,0.74375,0.7650086831279332
18.0,1,0.7328125,0.7548729835532104
18.0,3,0.7330729166666666,0.7533120805743886
18.0,5,0.7322916666666667,0.7520050951323863
18.0,10,0.7307291666666667,0.7509766628724821
18.0,20,0.7200520833333334,0.7387280416246198
16.0,1,0.6778645833333333,0.6783383973318582
16.0,3,0.6765625,0.6748253624724436
16.0,10,0.6752604166666667,0.6736916841569769
16.0,5,0.6765625,0.6735180643704407
16.0,20,0.66875,0.6620190841588723
14.0,1,0.6046875,0.6153613890094936
14.0,3,0.6028645833333334,0.6143064401011815
14.0,10,0.6020833333333333,0.6120524233705223
14.0,5,0.6028645833333334,0.6110873755255006
14.0,20,0.59375,0.5987862541776603
12.0,1,0.5479166666666667,0.5458422510663099
12.0,5,0.5450520833333333,0.5405455700182903
12.0,3,0.5424479166666667,0.5400968342852567
12.0,10,0.5442708333333334,0.5400069292702517
12.0,20,0.53671875,0.5292616781076662
10.0,3,0.4434895833333333,0.43025535225572364
10.0,1,0.44244791666666666,0.4288709732349443
10.0,10,0.440625,0.42610807256313293
10.0,5,0.44114583333333335,0.4259357538204337
10.0,20,0.4348958333333333,0.41627064300542027
8.0,1,0.3611979166666667,0.340731853282031
8.0,10,0.36041666666666666,0.3404443141119877
8.0,3,0.35963541666666665,0.33960082932175584
8.0,5,0.359375,0.3391237282763075
8.0,20,0.35520833333333335,0.3307288324110469
