feature,importance
first_line_length,8926
quote_ratio,7302
colon_ratio,7163
special_char_ratio,6554
paren_ratio,6447
avg_line_length,6405
semicolon_ratio,6176
max_line_length,5765
comma_ratio,5650
brace_ratio,5560
underscore_ratio,5341
indentation_line_ratio,5327
num_chars,4836
first_line_pattern,4696
empty_line_ratio,4659
comment_line_ratio,4393
hash_ratio,3855
equal_ratio,3719
assignment_line_ratio,3579
html_tag_ratio,3409
bracket_ratio,3392
equal_key_value_ratio,3308
kw_shell_ratio,3102
kw_php_ratio,2681
colon_key_value_ratio,2676
at_ratio,2629
num_lines,2571
kw_lua_ratio,2560
kw_python_ratio,2495
dollar_ratio,2427
kw_ruby_ratio,2360
num_non_empty_lines,2281
kw_javascript_ratio,2216
markdown_heading_ratio,2201
csv_like_line_ratio,2133
markdown_list_ratio,1950
kw_kotlin_ratio,1900
kw_swift_ratio,1838
kw_go_ratio,1817
makefile_variable_ratio,1766
kw_dockerfile_ratio,1752
kw_r_ratio,1582
kw_rust_ratio,1571
tab_ratio,1446
kw_shell_count,1404
kw_scala_ratio,1379
kw_sql_ratio,1255
makefile_target_ratio,1241
kw_cpp_ratio,1205
kw_python_count,1190
kw_php_count,1182
kw_csharp_ratio,1078
kw_java_ratio,1034
kw_typescript_ratio,1015
has_import,997
makefile_command_ratio,980
js_arrow_count,975
kw_c_ratio,899
kw_javascript_count,848
kw_ruby_count,802
has_def_word,799
kw_kotlin_count,780
kw_lua_count,780
has_package,776
kw_go_count,726
sql_statement_ratio,724
has_public_word,699
kw_cpp_count,631
ts_type_annotation_count,620
kw_dockerfile_count,594
kw_rust_count,577
kw_swift_count,571
kw_r_count,569
js_export_count,567
has_include,545
sql_clause_count,529
kw_csharp_count,439
kw_java_count,424
has_html_tag,409
kw_c_count,400
kw_scala_count,396
has_namespace,389
markdown_code_fence_count,344
has_function_word,341
js_import_from_count,339
markdown_link_count,335
kw_sql_count,330
has_xml_declaration,327
json_parse_success,319
has_class,314
has_svg_tag,308
kw_perl_ratio,295
has_doctype,288
ts_interface_count,283
has_curly_braces,257
kw_perl_count,256
kw_typescript_count,252
kw_makefile_ratio,207
has_semicolon,203
has_body_tag,180
kw_makefile_count,177
js_require_count,176
has_shebang,139
has_square_brackets,139
has_from_header,129
kw_latex_count,126
kw_latex_ratio,107
js_console_count,74
ts_type_alias_count,62
has_viewbox,31
has_vcalendar,0
has_mime_boundary,0
